,Name,GenreId
638,Don't Take Your Love From Me,2
639,Midget,2
640,I'm Coming Virginia,2
641,Payin' Them Dues Blues,2
642,Jungle Drums,2
643,Showcase,2
644,Swedish Schnapps,2
645,Samba Da Bênção,11
646,Pot-Pourri N.º 4,11
647,Onde Anda Você,11
648,Samba Da Volta,11
649,Canto De Ossanha,11
650,Pot-Pourri N.º 5,11
651,Formosa,11
652,Como É Duro Trabalhar,11
653,Minha Namorada,11
654,Por Que Será,11
655,Berimbau,11
656,Deixa,11
657,Pot-Pourri N.º 2,11
658,Samba Em Prelúdio,11
659,Carta Ao Tom 74,11
660,Linha de Passe (João Bosco),7
661,Pela Luz dos Olhos Teus (Miúcha e Tom Jobim),7
662,Chão de Giz (Elba Ramalho),7
663,Marina (Dorival Caymmi),7
664,Aquarela (Toquinho),7
665,Coração do Agreste (Fafá de Belém),7
666,Dona (Roupa Nova),7
667,Começaria Tudo Outra Vez (Maria Creuza),7
668,Caçador de Mim (Sá & Guarabyra),7
669,Romaria (Renato Teixeira),7
670,As Rosas Não Falam (Beth Carvalho),7
671,Wave (Os Cariocas),7
672,Garota de Ipanema (Dick Farney),7
673,Preciso Apender a Viver Só (Maysa),7
674,Susie Q,1
675,I Put A Spell On You,1
676,Proud Mary,1
677,Bad Moon Rising,1
678,Lodi,1
679,Green River,1
680,Commotion,1
681,Down On The Corner,1
682,Fortunate Son,1
683,Travelin' Band,1
684,Who'll Stop The Rain,1
685,Up Around The Bend,1
686,Run Through The Jungle,1
687,Lookin' Out My Back Door,1
688,Long As I Can See The Light,1
689,I Heard It Through The Grapevine,1
690,Have You Ever Seen The Rain?,1
691,Hey Tonight,1
692,Sweet Hitch-Hiker,1
693,Someday Never Comes,1
694,Walking On The Water,1
695,"Suzie-Q, Pt. 2",1
696,Born On The Bayou,1
697,Good Golly Miss Molly,1
698,Tombstone Shadow,1
699,Wrote A Song For Everyone,1
700,Night Time Is The Right Time,1
701,Cotton Fields,1
702,It Came Out Of The Sky,1
703,Don't Look Now,1
704,The Midnight Special,1
705,Before You Accuse Me,1
706,My Baby Left Me,1
707,Pagan Baby,1
708,(Wish I Could) Hideaway,1
709,It's Just A Thought,1
710,Molina,1
711,Born To Move,1
712,Lookin' For A Reason,1
713,Hello Mary Lou,1
714,Gatas Extraordinárias,7
715,Brasil,7
716,Eu Sou Neguinha (Ao Vivo),7
717,Geração Coca-Cola (Ao Vivo),7
718,Lanterna Dos Afogados,7
719,Coroné Antonio Bento,7
720,"Você Passa, Eu Acho Graça (Ao Vivo)",7
721,Meu Mundo Fica Completo (Com Você),7
722,1° De Julho,7
723,Música Urbana 2,7
724,Vida Bandida (Ao Vivo),7
725,Palavras Ao Vento,7
726,Não Sei O Que Eu Quero Da Vida,7
727,Woman Is The Nigger Of The World (Ao Vivo),7
728,Juventude Transviada (Ao Vivo),7
729,Malandragem,7
730,O Segundo Sol,7
731,Smells Like Teen Spirit (Ao Vivo),7
732,E.C.T.,7
733,Todo Amor Que Houver Nesta Vida,7
734,Metrô. Linha 743,7
735,Nós (Ao Vivo),7
736,Na Cadência Do Samba,7
737,Admirável Gado Novo,7
738,Eleanor Rigby,7
739,Socorro,7
740,Blues Da Piedade,7
741,Rubens,7
742,Não Deixe O Samba Morrer - Cassia Eller e Alcione,7
743,Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos),7
744,Comin' Home,1
745,Lady Luck,1
746,Gettin' Tighter,1
747,Dealer,1
748,I Need Love,1
749,Drifter,1
750,Love Child,1
751,This Time Around / Owed to 'G' [Instrumental],1
752,You Keep On Moving,1
753,Speed King,1
754,Bloodsucker,1
755,Child In Time,1
756,Flight Of The Rat,1
757,Into The Fire,1
758,Living Wreck,1
759,Hard Lovin' Man,1
760,Fireball,1
761,No No No,1
762,Strange Kind Of Woman,1
763,Anyone's Daughter,1
764,The Mule,1
765,Fools,1
766,No One Came,1
767,Knocking At Your Back Door,1
768,Bad Attitude,1
769,Child In Time (Son Of Aleric - Instrumental),1
770,Nobody's Home,1
771,Black Night,1
772,Perfect Strangers,1
773,The Unwritten Law,1
774,Call Of The Wild,1
775,Hush,1
776,Smoke On The Water,1
777,Space Trucking,1
778,Highway Star,1
779,Maybe I'm A Leo,1
780,Pictures Of Home,1
781,Never Before,1
782,Smoke On The Water,1
783,Lazy,1
784,Space Truckin',1
785,Vavoom : Ted The Mechanic,1
786,Loosen My Strings,1
787,Soon Forgotten,1
788,Sometimes I Feel Like Screaming,1
789,Cascades : I'm Not Your Lover,1
790,The Aviator,1
791,Rosa's Cantina,1
792,A Castle Full Of Rascals,1
793,A Touch Away,1
794,Hey Cisco,1
795,Somebody Stole My Guitar,1
796,The Purpendicular Waltz,1
797,King Of Dreams,1
798,The Cut Runs Deep,1
799,Fire In The Basement,1
800,Truth Hurts,1
801,Breakfast In Bed,1
802,Love Conquers All,1
803,Fortuneteller,1
804,Too Much Is Not Enough,1
805,Wicked Ways,1
806,Stormbringer,1
807,Love Don't Mean a Thing,1
808,Holy Man,1
809,Hold On,1
810,Lady Double Dealer,1
811,You Can't Do it Right (With the One You Love),1
812,High Ball Shooter,1
813,The Gypsy,1
814,Soldier Of Fortune,1
815,The Battle Rages On,1
816,Lick It Up,1
817,Anya,1
818,Talk About Love,1
819,Time To Kill,1
820,Ramshackle Man,1
821,A Twist In The Tail,1
822,Nasty Piece Of Work,1
823,Solitaire,1
824,One Man's Meat,1
825,Pour Some Sugar On Me,1
826,Photograph,1
827,Love Bites,1
828,Let's Get Rocked,1
829,Two Steps Behind [Acoustic Version],1
830,Animal,1
831,Heaven Is,1
832,Rocket,1
833,When Love & Hate Collide,1
834,Action,1
835,Make Love Like A Man,1
836,Armageddon It,1
837,Have You Ever Needed Someone So Bad,1
838,Rock Of Ages,1
839,Hysteria,1
840,Bringin' On The Heartbreak,1
841,Roll Call,2
842,Otay,2
843,Groovus Interruptus,2
844,Paris On Mine,2
845,In Time,2
846,Plan B,2
847,Outbreak,2
848,"Baltimore, DC",2
849,Talkin Loud and Saying Nothin,2
850,Pétala,7
851,Meu Bem-Querer,7
852,Cigano,7
853,Boa Noite,7
854,Fato Consumado,7
855,Faltando Um Pedaço,7
856,Álibi,7
857,Esquinas,7
858,Se...,7
859,Eu Te Devoro,7
860,Lilás,7
861,Acelerou,7
862,Um Amor Puro,7
863,Samurai,7
864,Nem Um Dia,7
865,Oceano,7
866,Açai,7
867,Serrado,7
868,Flor De Lis,7
869,Amar É Tudo,7
870,Azul,7
871,Seduzir,7
872,A Carta,7
873,Sina,7
874,Acelerou,7
875,Um Amor Puro,7
876,O Bêbado e a Equilibrista,7
877,O Mestre-Sala dos Mares,7
878,Atrás da Porta,7
879,"Dois Pra Lá, Dois Pra Cá",7
880,Casa no Campo,7
881,Romaria,7
882,"Alô, Alô, Marciano",7
883,Me Deixas Louca,7
884,Fascinação,7
885,Saudosa Maloca,7
886,As Aparências Enganam,7
887,Madalena,7
888,Maria Rosa,7
889,Aprendendo A Jogar,7
890,Layla,6
891,Badge,6
892,I Feel Free,6
893,Sunshine Of Your Love,6
894,Crossroads,6
895,Strange Brew,6
896,White Room,6
897,Bell Bottom Blues,6
898,Cocaine,6
899,I Shot The Sheriff,6
900,After Midnight,6
901,Swing Low Sweet Chariot,6
902,Lay Down Sally,6
903,Knockin On Heavens Door,6
904,Wonderful Tonight,6
905,Let It Grow,6
906,Promises,6
907,I Can't Stand It,6
908,Signe,6
909,Before You Accuse Me,6
910,Hey Hey,6
911,Tears In Heaven,6
912,Lonely Stranger,6
913,Nobody Knows You When You're Down & Out,6
914,Layla,6
915,Running On Faith,6
916,Walkin' Blues,6
917,Alberta,6
918,San Francisco Bay Blues,6
919,Malted Milk,6
920,Old Love,6
921,Rollin' And Tumblin',6
922,Collision,4
923,Stripsearch,4
924,Last Cup Of Sorrow,4
925,Naked In Front Of The Computer,4
926,Helpless,4
927,Mouth To Mouth,4
928,Ashes To Ashes,4
929,She Loves Me Not,4
930,Got That Feeling,4
931,Paths Of Glory,4
932,Home Sick Home,4
933,Pristina,4
934,Land Of Sunshine,4
935,Caffeine,4
936,Midlife Crisis,4
937,RV,4
938,Smaller And Smaller,4
939,Everything's Ruined,4
940,Malpractice,4
941,Kindergarten,4
942,Be Aggressive,4
943,A Small Victory,4
944,Crack Hitler,4
945,Jizzlobber,4
946,Midnight Cowboy,4
947,Easy,4
948,Get Out,1
949,Ricochet,1
950,Evidence,1
951,The Gentle Art Of Making Enemies,1
952,Star A.D.,1
953,Cuckoo For Caca,1
954,Caralho Voador,1
955,Ugly In The Morning,1
956,Digging The Grave,1
957,Take This Bottle,1
958,King For A Day,1
959,What A Day,1
960,The Last To Know,1
961,Just A Man,1
962,Absolute Zero,1
963,From Out Of Nowhere,4
964,Epic,4
965,Falling To Pieces,4
966,Surprise! You're Dead!,4
967,Zombie Eaters,4
968,The Real Thing,4
969,Underwater Love,4
970,The Morning After,4
971,Woodpecker From Mars,4
972,War Pigs,4
973,Edge Of The World,4
974,Deixa Entrar,7
975,Falamansa Song,7
976,Xote Dos Milagres,7
977,Rindo À Toa,7
978,Confidência,7
979,Forró De Tóquio,7
980,Zeca Violeiro,7
981,Avisa,7
982,Principiando/Decolagem,7
983,Asas,7
984,Medo De Escuro,7
985,Oração,7
986,Minha Gata,7
987,Desaforo,7
988,In Your Honor,1
989,No Way Back,1
990,Best Of You,1
991,DOA,1
992,Hell,1
993,The Last Song,1
994,Free Me,1
995,Resolve,1
996,The Deepest Blues Are Black,1
997,End Over End,1
998,Still,1
999,What If I Do?,1
1000,Miracle,1
1001,Another Round,1
1002,Friend Of A Friend,1
1003,Over And Out,1
1004,On The Mend,1
1005,Virginia Moon,1
1006,Cold Day In The Sun,1
1007,Razor,1
1008,All My Life,4
1009,Low,4
1010,Have It All,4
1011,Times Like These,4
1012,Disenchanted Lullaby,4
1013,Tired Of You,4
1014,Halo,4
1015,Lonely As You,4
1016,Overdrive,4
1017,Burn Away,4
1018,Come Back,4
1019,Doll,1
1020,Monkey Wrench,1
1021,"Hey, Johnny Park!",1
1022,My Poor Brain,1
1023,Wind Up,1
1024,Up In Arms,1
1025,My Hero,1
1026,See You,1
1027,Enough Space,1
1028,February Stars,1
1029,Everlong,1
1030,Walking After You,1
1031,New Way Home,1
1032,My Way,12
1033,Strangers In The Night,12
1034,"New York, New York",12
1035,I Get A Kick Out Of You,12
1036,Something Stupid,12
1037,Moon River,12
1038,What Now My Love,12
1039,Summer Love,12
1040,For Once In My Life,12
1041,Love And Marriage,12
1042,They Can't Take That Away From Me,12
1043,My Kind Of Town,12
1044,Fly Me To The Moon,12
1045,I've Got You Under My Skin,12
1046,The Best Is Yet To Come,12
1047,It Was A Very Good Year,12
1048,Come Fly With Me,12
1049,That's Life,12
1050,The Girl From Ipanema,12
1051,The Lady Is A Tramp,12
1052,"Bad, Bad Leroy Brown",12
1053,Mack The Knife,12
1054,Loves Been Good To Me,12
1055,L.A. Is My Lady,12
1056,Entrando Na Sua (Intro),7
1057,Nervosa,7
1058,Funk De Bamba (Com Fernanda Abreu),7
1059,Call Me At Cleo´s,7
1060,Olhos Coloridos (Com Sandra De Sá),7
