time;latitude;longitude;depth;mag;magType;nst;gap;dmin;rms;net;id;updated;place;type;horizontalError;depthError;magError;magNst;status;locationSource;magSource
2003-02-01 16:25;37.283;-7.455;19.8;2.9;mblg;30;;;;us;usp000bpss;2014-11-06 20:17;6 km N of Castro Marim, Portugal;earthquake;;;;;reviewed;mdd;mdd
2003-02-01 02:13;46.205;2.508;2;3;ml;27;;;;us;usp000bpr6;2014-11-06 20:17;3 km NNE of Évaux-les-Bains, France;earthquake;;;;;reviewed;ldg;ldg
2003-01-31 18:19;50.329;4.496;3;2.5;ml;10;;;;us;usp000bpqh;2014-11-06 20:17;1 km N of Tarcienne, Belgium;earthquake;;;;;reviewed;ldg;ldg
2003-01-31 15:54;44.094;6.837;2;3.2;ml;57;;;;us;usp000bpqc;2014-11-06 20:17;15 km NNW of Puget-Théniers, France;earthquake;;;;;reviewed;ldg;gen
2003-01-31 14:58;41.493;-6.034;0;2.8;mblg;11;;;;us;usp000bpq8;2014-11-06 20:17;3 km SSE of Villalcampo, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-31 12:10;50.351;4.485;3;2.6;ml;11;;;;us;usp000bppz;2014-11-06 20:17;2 km SSE of Loverval, Belgium;earthquake;;;;;reviewed;ldg;ldg
2003-01-31 01:20;41.609;-5.962;0;2.5;mblg;12;;;;us;usp000bpp9;2014-11-06 20:17;3 km SSW of Manzanal del Barco, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-30 18:06;48.606;-2.478;4;2.9;ml;8;;;;us;usp000bpnn;2014-11-06 20:17;2 km SSW of Erquy, France;earthquake;;;;;reviewed;ldg;ldg
2003-01-29 16:09;44.117;6.807;5.3;2.6;ml;28;;;;us;usp000bpjp;2014-11-06 20:17;18 km SSW of Saint-Étienne-de-Tinée, France;earthquake;;;;;reviewed;gen;gen
2003-01-28 22:19;38.193;-8.252;0;2.5;mblg;7;;;;us;usp000bpgr;2014-11-06 20:17;23 km WSW of Alvito, Portugal;earthquake;;;;;reviewed;mdd;mdd
2003-01-28 11:40;44.277;8.439;5;2.5;ml;15;;;;us;usp000bpfe;2014-11-06 20:17;0 km ESE of Valleggia, Italy;earthquake;;;;;reviewed;ldg;ldg
2003-01-27 16:03;40.05;-6.471;2.8;2.5;mblg;11;;;;us;usp000bpcu;2014-11-06 20:17;5 km ESE of Calzadilla, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-27 14:13;46.171;6.896;3.6;2.8;ml;25;;;;us;usp000bpcj;2014-11-06 20:17;2 km ESE of Champéry, Switzerland;earthquake;;;;;reviewed;gen;gen
2003-01-25 17:19;44.073;7.976;7.7;2.6;ml;29;;;;us;usp000bp60;2014-11-06 20:17;1 km NNW of Borghetto d'Arroscia, Italy;earthquake;;;;;reviewed;gen;gen
2003-01-24 19:58;51.543;6.773;1;2.5;ml;14;;;;us;usp000bp4q;2014-11-06 20:17;2 km SE of Dinslaken, Germany;earthquake;;;;;reviewed;ldg;ldg
2003-01-24 19:45;49.152;6.774;1;2.7;ml;21;;;;us;usp000bp4n;2014-11-06 20:17;0 km WNW of Freyming-Merlebach, France;earthquake;;;;;reviewed;ldg;ldg
2003-01-24 15:45;37.791;-4.619;6.6;2.6;mblg;14;;;;us;usp000bp48;2014-11-06 20:17;13 km NNW of Espejo, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-24 15:35;37.775;-4.63;6.4;4;mb;86;;;;us;usp000bp46;2020-04-16 13:48;12 km NNW of Espejo, Spain;earthquake;;;;1;reviewed;mdd;us
2003-01-24 13:16;41.551;-6.023;3.4;2.6;mblg;9;;;;us;usp000bp42;2014-11-06 20:17;3 km NNE of Villalcampo, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-24 00:00;38.62;-0.904;6.1;2.5;mblg;8;;;;us;usp000bp3a;2014-11-06 20:17;3 km WSW of Villena, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-23 19:13;41.485;-6.051;0;2.9;ml;17;;;;us;usp000bp2z;2014-11-06 20:17;4 km S of Villalcampo, Spain;earthquake;;;;;reviewed;mdd;ldg
2003-01-23 14:59;49.14;6.82;1;3.3;ml;36;;;;us;usp000bp2p;2014-11-06 20:17;1 km WNW of Béning-lès-Saint-Avold, France;earthquake;;;;;reviewed;str;ldg
2003-01-23 13:28;43.133;-0.849;5;2.5;ml;9;;;;us;usp000bp2g;2014-11-06 20:17;10 km SSE of Mauléon-Licharre, France;earthquake;;;;;reviewed;ldg;ldg
2003-01-23 10:47;44.84;6.77;2;2.9;ml;27;;;;us;usp000bp26;2014-11-06 20:17;11 km S of Claviere, Italy;earthquake;;;;;reviewed;str;str
2003-01-23 09:56;41.562;-5.966;0;2.5;mblg;7;;;;us;usp000bp23;2014-11-06 20:17;8 km ENE of Villalcampo, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-23 09:35;37.368;-2.108;5;3;mblg;20;;;;us;usp000bp22;2014-11-06 20:17;3 km WNW of Arboleas, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-23 05:43;41.52;-6.007;0;2.6;mblg;7;;;;us;usp000bp1t;2014-11-06 20:17;3 km E of Villalcampo, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-23 05:13;41.541;-6.005;6.2;4.5;mb;114;;;;us;usp000bp1r;2014-11-06 20:17;4 km ENE of Villalcampo, Spain;earthquake;;;;1;reviewed;mdd;us
2003-01-22 17:05;47.155;-0.603;4;2.9;ml;14;;;;us;usp000bp0m;2014-11-06 20:17;4 km NE of Coron, France;earthquake;;;;;reviewed;str;str
2003-01-22 16:10;41.507;-6.062;5.1;3.1;mblg;26;;;;us;usp000bp0g;2014-11-06 20:17;2 km SW of Villalcampo, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-22 14:46;37.051;-10.681;0;2.8;mblg;13;;;;us;usp000bp0a;2014-11-06 20:17;154 km W of Sagres, Portugal;earthquake;;;;;reviewed;mdd;mdd
2003-01-21 18:27;44.658;7.174;11.3;2.6;ml;40;;;;us;usp000bnyj;2014-11-06 20:17;2 km SSW of Oncino, Italy;earthquake;;;;;reviewed;gen;gen
2003-01-21 13:01;43.12;-0.362;5;4.6;ml;109;;;;us;usp000bny7;2014-11-06 20:17;5 km NE of Louvie-Juzon, France;earthquake;;;;;reviewed;ldg;ldg
2003-01-20 23:31;36.503;-2.905;0;2.7;mblg;12;;;;us;usp000bnxb;2014-11-06 20:17;29 km SSE of Adra, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-20 06:22;44.447;6.747;0.7;3;ml;55;;;;us;usp000bnvu;2014-11-06 20:17;3 km NNE of Jausiers, France;earthquake;;;;;reviewed;gen;ldg
2003-01-20 02:59;44.451;6.753;0.1;2.9;ml;50;;;;us;usp000bnvp;2014-11-06 20:17;4 km NNE of Jausiers, France;earthquake;;;;;reviewed;gen;gen
2003-01-19 19:23;47.073;0.612;3;2.8;ml;14;;;;us;usp000bnv6;2014-11-06 20:17;4 km S of Sainte-Maure-de-Touraine, France;earthquake;;;;;reviewed;ldg;ldg
2003-01-19 07:45;49.143;6.829;1;2.5;ml;18;;;;us;usp000bntz;2014-11-06 20:17;1 km NW of Béning-lès-Saint-Avold, France;earthquake;;;;;reviewed;ldg;ldg
2003-01-19 01:21;42.8;2.54;10;2.7;ml;22;;;;us;usp000bntg;2014-11-06 20:17;3 km ESE of Saint-Paul-de-Fenouillet, France;earthquake;;;;;reviewed;str;ldg
2003-01-18 11:33;41.584;-5.914;1.8;2.8;mblg;16;;;;us;usp000bnsa;2014-11-06 20:17;3 km SW of Palacios del Pan, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-18 07:11;43.832;8.459;10;2.5;ml;17;;;;us;usp000bns4;2014-11-06 20:17;27 km ESE of Marina di Andora, Italy;earthquake;;;;;reviewed;ldg;gen
2003-01-17 23:17;47.581;-2.842;10;2.8;ml;8;;;;us;usp000bnrf;2014-11-06 20:17;4 km E of Larmor-Baden, France;earthquake;;;;;reviewed;ldg;ldg
